area_name,northeast_lat,northeast_lng,southwest_lat,southwest_lng
Wahroonga (East) - Warrawee,-33.7011438,151.1305924,-33.7458628,151.1127411
Cremorne - Cammeray,-33.8157511,151.2259711,-33.8378588,151.2173255
Crows Nest - Waverton,-33.819975,151.2094675,-33.8311647,151.1978611
Mosman,-33.8033407,151.2688683,-33.8533265,151.2283681
Neutral Bay - Kirribilli,-33.8276615,151.2203625,-33.8526703,151.2114096
North Sydney - Lavender Bay,-33.8280792,151.218628,-33.8451533,151.2005425
Balgowlah - Clontarf - Seaforth,-27.2262601,151.2535701,-33.804303,153.0538767
Manly - Fairlight,-33.7828249,151.2811339,-33.8238714,151.274703
Avalon - Palm Beach,-33.5779976,151.3363706,-33.6432303,151.3158922
Bayview - Elanora Heights,-33.646825,151.2875418,-33.7090777,151.2746988
Newport - Bilgola,-33.6415312,151.3277123,-33.6705169,151.3213365
Warriewood - Mona Vale,-33.6624702,151.3155167,-33.7032463,151.2815068
Beacon Hill - Narraweena,-33.7420139,151.2697004,-33.761729,151.2637283
Cromer,-33.7161154,151.2907568,-33.7447585,151.2458787
Dee Why - North Curl Curl,-33.740625,151.3044086,-33.7613913,151.2776415
Forestville - Killarney Heights,-33.74941020000001,151.2297517,-33.7722005,151.1912549
Frenchs Forest - Belrose,-33.7366808,151.2499555,-33.7660959,151.1918726
Freshwater - Brookvale,-33.7543708,151.2806465,-33.7828802,151.2736594
Manly Vale - Allambie Heights,-33.753667,151.2671422,-33.7888713,151.2554007
Narrabeen - Collaroy,-33.7241706,151.3174792,-33.7469233,151.2893096
Terrey Hills - Duffys Forest,-33.6560763,151.2055472,-33.7094608,151.1927111
Camden - Ellis Lane,-34.0195816,150.6923912,-34.0761003,150.6815257
Elderslie - Harrington Park,-34.0118235,150.7304656,-34.0711969,150.7092938
Mount Annan - Currans Hill,-34.0325061,150.7853316,-34.0846187,150.7609638
Bradbury - Wedderburn,-34.0707528,143.6919649,-36.5120259,150.8047387
Campbelltown - Woodbine,-34.0343676,150.8295313,-34.0825696,150.8079964
Claymore - Eagle Vale - Raby,-34.0106553,150.8275394,-34.0296954,150.8050046
Holsworthy Military Area,-33.9920751197085,150.9520377802915,-33.99477308029149,150.9493398197085
Ingleburn - Denham Court,-33.9561706,150.8542591,-34.0249421,150.8278371
Leumeah - Minto Heights,-34.0420669,150.8552246,-34.065712,150.8239094
Macquarie Fields - Glenfield,-33.9774428,150.9122067,-34.0044738,150.8707878
Minto - St Andrews,-34.0133127,145.3326688,-37.62000949999999,150.827163
Rosemeadow - Glen Alpine,-34.0957008,150.8042948,-34.1172296,150.779214
Bargo,-34.236503,150.6346186,-34.3375643,150.5392386
Douglas Park - Appin,-34.1576311,150.7518868,-34.2598366,150.7191348
Picton - Tahmoor - Buxton,-34.1327936,150.5701201,-34.2750582,150.5611721
The Oaks - Oakdale,-34.0022233,150.5596012,-34.1498476,150.5287153
Blackheath - Megalong Valley,-33.6000929,150.2877796,-33.7976286,150.2353023
Blaxland - Warrimoo - Lapstone,-33.7108083,150.6441352,-33.7620035,150.5922337
Blue Mountains - North,-32.7605526,150.684825,-33.9406063,149.9082138
Katoomba - Leura,-33.681699,150.3575477,-33.7378797,150.3202179
Lawson - Hazelbrook - Linden,-33.6986569,150.4522345,-33.7574555,150.439441
Springwood - Winmalee,-33.6554251,150.6068318,-33.7287496,150.5861925
Wentworth Falls,-33.6868451,150.4088464,-33.7716124,150.3504737
Blue Mountains - South,-32.7605526,150.684825,-33.9406063,149.9082138
Cambridge Park,-33.7421203,150.7386671,-33.7571539,150.71449
Castlereagh - Cranebrook,-33.6407284,150.7091527,-33.7350998,150.6884997
Emu Plains - Leonay,-33.7287792,150.6594457,-33.7804719,150.6417607
Glenmore Park - Regentville,-33.76434649999999,150.6722845,-33.8108795,150.6564554
Jamisontown - South Penrith,-33.7585369,150.6894208,-33.7855466,150.6854557
Kingswood - Werrington,-33.7469064,150.7459412,-33.7761057,150.733152
Mulgoa - Luddenham - Orchard Hills,-33.7680499,150.6961196,-33.9061596,150.6675726
Penrith,-33.7256169,150.7175302,-33.7640777,150.6615355
Warragamba - Silverdale,-33.8726923,150.617011,-33.9061259,150.5795298
Richmond - Clarendon,-35.0841902,138.6765698,-35.1500419,138.5856239
Windsor - Bligh Park,-33.631497,150.8155221,-33.6453816,150.7853708
Yarramundi - Londonderry,-33.6181739,150.7859102,-33.6899817,150.6962957
Erskine Park,-33.7911296,150.815818,-33.8272596,150.7753155
St Clair,-33.7841255,150.8076118,-33.8117203,150.768218
Colyton - Oxley Park,-33.7644871,150.8034266,-33.7912832,150.7872751
St Marys - North St Marys,-33.7151726,150.7900569,-33.7860062,150.7748435
Homebush Bay - Silverwater,-33.8203838,151.0603522,-33.8569598,151.0502898
Rookwood Cemetery,-33.86723711970851,151.0482074802915,-33.8699350802915,151.0455095197085
Auburn - Central,-33.8343922,151.0446432,-33.8812756,151.0118565
Auburn - North,-33.8343922,151.0446432,-33.8812756,151.0118565
Auburn - South,-33.8343922,151.0446432,-33.8812756,151.0118565
Berala,-33.863705,151.0420093,-33.8853088,151.0251181
Lidcombe,-33.8422925,151.0670005,-33.8877113,151.0312779
Regents Park,-33.8759795,151.040129,-33.8887842,151.0151883
Carlingford,-33.7584647,151.068076,-33.7917183,151.0212048
Ermington - Rydalmere,-33.7965837,151.0704948,-33.8236603,151.0504854
Oatlands - Dundas Valley,-33.7851177,151.0364679,-33.8043599,151.0451409
Chester Hill - Sefton,-33.8639861,151.0146209,-33.8990458,151.0044449
Fairfield - East,-33.8684361,150.9854931,-33.8822119,150.9613019
Granville - Clyde,-33.824079,151.0202731,-33.8470884,150.994254
Greystanes - Pemulwuy,-33.8054697,150.9644681,-33.842099,150.9162002
Guildford - South Granville,-33.8460727,151.0177541,-33.8713044,151.0038202
Guildford West - Merrylands West,-31.8873816,115.9891741,-33.8450948,150.9578984
Merrylands - Holroyd,-33.8179265,151.0072455,-33.8519572,150.9624198
Smithfield Industrial,-27.5284120197085,153.2010569802915,-27.5311099802915,153.1983590197085
Yennora Industrial,-33.8536545,150.9809074,-33.8698122,150.9547512
North Parramatta,-33.7791195,151.0277517,-33.8091749,150.9956439
North Rocks,-33.7580838,151.0321497,-33.7933634,150.997322
Northmead,-33.7670469,151.0097772,-33.8006546,150.9771447
Parramatta - Rosehill,-33.803202,151.0292114,-33.826719,150.9882541
Toongabbie - Constitution Hill,-33.7767608,150.9675141,-33.8072276,150.9667055
Winston Hills,-33.7659011,151.0013279,-33.7886234,150.9588217
Pendle Hill - Girraween,-33.7903202,150.9544804,-33.8130736,150.9458671
Wentworthville - Westmead,-33.796349,150.9809088,-33.8196232,150.9749334
Epping - North Epping,-33.751746,145.0661929,-37.6614329,151.0828851
Pennant Hills - Cheltenham,-33.7191982,145.0931779,-37.9762783,151.054322
Eastwood - Denistone,-33.7773576,151.1005117,-33.804494,151.0791029
Gladesville - Huntleys Point,-33.8139963,151.1376569,-33.8417271,151.1391799
Hunters Hill - Woolwich,-33.8146899,151.1665476,-33.8447712,151.1658004
Macquarie Park - Marsfield,-33.7611846,151.1168708,-33.7936427,151.0932891
North Ryde - East Ryde,-33.8034432,151.1439434,-33.8181957,151.127212
West Ryde - Meadowbank,-33.8113531,151.0949723,-33.8210775,151.0815056
Putney,-33.8182996,151.1157765,-33.8356405,151.0962756
Ryde,-33.7903764,151.1352351,-33.8251654,151.0927469
Ashcroft - Busby - Miller,-33.9037675,150.8873097,-33.9193771,150.8745999
Austral - Greendale,-33.8967407,144.3703629,-37.5853192,150.7866342
Cobbitty - Leppington,-33.9449619,150.732124,-34.0509885,150.7594076
Badgerys Creek,-33.8505092,150.7760604,-33.9128162,150.7122301
Cecil Hills,-33.8746906,150.8646331,-33.9002543,150.8238921
Green Valley,-33.8943863,150.8845138,-33.9108828,150.8546887
Hinchinbrook,-18.1241473,146.3969487,-18.498612,146.0401331
Hoxton Park - Carnes Hill - Horningsea Park,-33.9244649,150.8513534,-33.9518355,150.8461676
West Hoxton - Middleton Grange,-33.9106781,150.8489353,-33.9521696,150.8192421
Bonnyrigg Heights - Bonnyrigg,-33.8825522,150.8828216,-33.9041375,150.8744734
Bossley Park - Abbotsbury,-33.8464578,150.8767056,-33.8837797,150.8699363
Cabramatta - Lansvale,-33.8882914,150.9595126,-33.908286,150.9124249
Cabramatta West - Mount Pritchard,-33.8863913,150.9144304,-33.9142051,150.8994916
Canley Vale - Canley Heights,-33.8761482,150.9671484,-33.8937614,150.933771
Edensor Park,-33.8687621,150.8903868,-33.8891655,150.8646329
Fairfield,-33.8538842,150.9657808,-33.8842053,150.9362904
Fairfield - West,-33.8590871, 150.9369946,-33.8813896,150.9107417
Greenfield Park - Prairiewood,-33.8682291,150.9007546,-33.8825522,150.8847147
Horsley Park - Kemps Creek,-33.8207372,150.8234989,-33.9160141,150.8115428
Smithfield - Wetherill Park,-33.8250755,150.9240934,-33.8588749,150.8727447
St Johns Park - Wakeley,-33.8653801,150.9138213,-33.8910441,150.9007546
Wetherill Park Industrial,-33.8391100197085,150.8847789802915,-33.8418079802915,150.8820810197085
Casula,-33.9375227,150.9189515,-33.9667885,150.8746874
Chipping Norton - Moorebank,-33.9220624,150.9705518,-33.9652411,150.9121532
Holsworthy - Wattle Grove,-31.9879301,116.0282652,-34.1896128,150.8140103
Liverpool,-33.9038699,150.9340243,-33.9390281,150.898046
Lurnea - Cartwright,-33.9211792,150.9008698,-33.9462448,150.8881722
Prestons - Edmondson Park,-33.950104,150.8766687,-33.9782169,150.8412609
Warwick Farm,-33.9023749,150.9523538,-33.9233045,150.9179433
Gymea - Grays Point,-34.0234614,151.0925439,-34.0666169,151.0731931
Miranda - Yowie Bay,-34.0407434,151.1111781,-34.0619295,151.0959481
Sylvania - Taren Point,-34.0026414,151.1208935,-34.0266239,151.1158982
Caringbah,-34.0235597,151.1452383,-34.0477694,151.1121957
Caringbah South,-34.0416032,151.1366056,-34.06608810000001,151.1025568
Cronulla - Kurnell - Bundeena,-34.0006785,151.1605037,-34.0950227,151.1405718
Lilli Pilli - Port Hacking - Dolans Bay,-34.0572414,151.1213163,-34.0757948,151.1228406
Woolaware - Burraneer,-34.0299058,151.1448635,-34.077399,151.1326061
Heathcote - Waterfall,-34.098406,144.8095071,-36.9736317,150.9819501
Illawong - Alfords Point,-33.9757808,151.0391412,-34.0096171,151.0144866
Menai - Lucas Heights - Woronora,-33.979696,150.9969719,-34.0603729,150.978654
Oyster Bay - Como - Jannali,-34.0077507,151.0765167,-34.0237697,151.0517441
Royal National Park,-34.0737283197085,151.0580068802915,-34.0764262802915,151.0553089197085
Sutherland - Kirrawee,-34.0192077,151.0682626,-34.0499872,151.0602039
Engadine,-34.0360578,151.0405906,-34.0795158,150.9952717
Loftus - Yarrawarrah,-34.0353039,151.0399135,-34.0619855,151.0324114
Woronora Heights,-34.0253275,151.0427488,-34.0428393,151.0139269
